Número de documentos del corpus: 2731
Número de palabras del corpus: 242857
Palabra: accumulation Frec: 2 LogProb: -11.474077215776967
Palabra: accuracy Frec: 39 LogProb: -8.88381005033114
Palabra: accurate Frec: 51 LogProb: -8.62144578586365
Palabra: accurately Frec: 23 LogProb: -9.394635674097131
Palabra: accustic Frec: 1 LogProb: -11.879542323885131
Palabra: acer Frec: 66 LogProb: -8.36799688505411
Palabra: acessory Frec: 1 LogProb: -11.879542323885131
Palabra: acetate Frec: 2 LogProb: -11.474077215776967
Palabra: aches Frec: 1 LogProb: -11.879542323885131
Palabra: achievable Frec: 1 LogProb: -11.879542323885131
Palabra: achieve Frec: 31 LogProb: -9.10695360164535
Palabra: achieved Frec: 4 LogProb: -10.963251592010977
Palabra: achieves Frec: 2 LogProb: -11.474077215776967
Palabra: aching Frec: 1 LogProb: -11.879542323885131
Palabra: achived Frec: 1 LogProb: -11.879542323885131
Palabra: achromatic Frec: 1 LogProb: -11.879542323885131
Palabra: acid Frec: 9 LogProb: -10.270104411451031
Palabra: acids Frec: 12 LogProb: -10.00774014698354
Palabra: acj Frec: 2 LogProb: -11.474077215776967
Palabra: acm Frec: 9 LogProb: -10.270104411451031
Palabra: acn Frec: 1 LogProb: -11.879542323885131
Palabra: acoustic Frec: 14 LogProb: -9.864639303342866
Palabra: acoustical Frec: 1 LogProb: -11.879542323885131
Palabra: acoustically Frec: 1 LogProb: -11.879542323885131
Palabra: acoustics Frec: 9 LogProb: -10.270104411451031
Palabra: acoustik Frec: 2 LogProb: -11.474077215776967
Palabra: acpi Frec: 2 LogProb: -11.474077215776967
Palabra: acquire Frec: 3 LogProb: -11.186395143325186
Palabra: acrobat Frec: 1 LogProb: -11.879542323885131
Palabra: acronis Frec: 1 LogProb: -11.879542323885131
Palabra: acrylic Frec: 17 LogProb: -9.682317746548911
Palabra: act Frec: 3 LogProb: -11.186395143325186
Palabra: acting Frec: 3 LogProb: -11.186395143325186
Palabra: action Frec: 108 LogProb: -7.881341622215933
Palabra: actions Frec: 4 LogProb: -10.963251592010977
Palabra: activate Frec: 8 LogProb: -10.375464927108856
Palabra: activated Frec: 9 LogProb: -10.270104411451031
Palabra: activates Frec: 3 LogProb: -11.186395143325186
Palabra: activating Frec: 2 LogProb: -11.474077215776967
Palabra: activation Frec: 2 LogProb: -11.474077215776967
Palabra: activator Frec: 1 LogProb: -11.879542323885131
Palabra: active Frec: 43 LogProb: -8.788499870526815
Palabra: activities Frec: 28 LogProb: -9.205393674458602
Palabra: activity Frec: 32 LogProb: -9.076181942978597
Palabra: activityeasy Frec: 1 LogProb: -11.879542323885131
Palabra: actman Frec: 3 LogProb: -11.186395143325186
Palabra: acts Frec: 9 LogProb: -10.270104411451031
Palabra: actual Frec: 26 LogProb: -9.276852638440747
Palabra: actually Frec: 6 LogProb: -10.626779355389763
Palabra: aculon Frec: 4 LogProb: -10.963251592010977
Palabra: acura Frec: 2 LogProb: -11.474077215776967
Palabra: acutas Frec: 7 LogProb: -10.49324796276524
Palabra: ad Frec: 18 LogProb: -9.628250525278636
Palabra: adapt Frec: 9 LogProb: -10.270104411451031
Palabra: adaptability Frec: 3 LogProb: -11.186395143325186
Palabra: adaptable Frec: 3 LogProb: -11.186395143325186
Palabra: adapte Frec: 1 LogProb: -11.879542323885131
Palabra: adapted Frec: 1 LogProb: -11.879542323885131
Palabra: adapter Frec: 599 LogProb: -6.17575984922893
